Id,SMILES,Protein,Ligand,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,Binding probability mean,Binding probability std,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
0_lig_assembled_10_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](CC(=O)O)C(=O)O)nn2)O1,protein.pdb,0_lig_assembled_10_pdb_processed.sdf,39,563.4730000000011,None,0.2,0.4,-6.197995131356376,-0.5097364418830097,-0.15892295208606091,-0.013070165176487429,4.486995083945138,0.3459447959960978,4.591107504708426,0.3775825495429701
1_lig_assembled_12_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(COCc3ccccc3)nn2)O1,protein.pdb,1_lig_assembled_12_pdb_processed.sdf,40,567.5520000000013,None,0.20000000279777125,0.3999999986011144,-6.731112221309117,-1.0932225128739603,-0.16827780553272792,-0.027330562821849008,4.986050810132708,0.7045342362193253,4.986009052821568,0.8097944539807113
2_lig_assembled_1_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCO)nn2)O1,protein.pdb,2_lig_assembled_1_pdb_processed.sdf,34,491.4539999999998,None,0.2,0.4,-5.42689311504364,-0.7561849433362866,-0.15961450338363647,-0.02224073362753784,3.8591302803584506,0.6629510900515909,4.019920825958252,0.560136995063916
3_lig_assembled_22_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(C(C)(C)C(=O)O)nn2)O1,protein.pdb,3_lig_assembled_22_pdb_processed.sdf,37,533.4910000000011,None,0.2,0.4,-6.104494704519,-0.9439878752434059,-0.16498634336537837,-0.025513185817389348,4.4194861480167935,0.6669211317207784,4.521847929273333,0.6992502779580784
4_lig_assembled_23_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3cccc(S(N)(=O)=O)c3)nn2)O1,protein.pdb,4_lig_assembled_23_pdb_processed.sdf,41,602.5790000000013,None,0.20000000786608255,0.399999996066959,-8.69341253553118,-0.6907184738973021,-0.21203445208612637,-0.016846792046275663,6.4356377465384345,0.5364061216982884,6.4395648411342075,0.5116433139980016
5_lig_assembled_25_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(C3c4ccccc4-c4ccccc43)nn2)O1,protein.pdb,5_lig_assembled_25_pdb_processed.sdf,44,611.6080000000015,None,0.20000000000005397,0.39999999999997304,-8.399234288079398,-0.7673778228680047,-0.19089168836544088,-0.017440405065181925,6.1377120699201315,0.7262979189226437,6.221655028206961,0.5684280169392627
6_lig_assembled_27_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3cccc(Cl)c3)nn2)O1,protein.pdb,6_lig_assembled_27_pdb_processed.sdf,38,557.9440000000013,None,0.20000000000003587,0.39999999999998204,-7.7397322756903515,-1.0092480107616837,-0.2036771651497461,-0.026559158177939045,5.733320917401995,0.8124241120473623,5.7331350190298895,0.7475911190827286
7_lig_assembled_29_pdb,COc1ccc(Cn2cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]3O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]3NC(C)=O)nn2)cc1OC,protein.pdb,7_lig_assembled_29_pdb_processed.sdf,42,597.5780000000013,None,0.20000000000055115,0.3999999999997244,-8.139241330964225,-0.5489799964815039,-0.19379146026105298,-0.013070952297178664,5.845116342817034,0.519999131871218,6.029067652566092,0.40665184924555836
8_lig_assembled_35_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](C)C(=O)O)nn2)O1,protein.pdb,8_lig_assembled_35_pdb_processed.sdf,36,519.4640000000002,None,0.2,0.4,-5.707795945235661,-0.8661243034655195,-0.15854988736765727,-0.024059008429597763,4.151397466659546,0.691837105517553,4.22799699647086,0.641573558122607
9_lig_assembled_36_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccc(C#N)cc3)nn2)O1,protein.pdb,9_lig_assembled_36_pdb_processed.sdf,40,562.5360000000012,None,0.20000000385845418,0.39999999807077297,-8.948453000613622,-0.9843088900429332,-0.22371132501534055,-0.02460772225107333,6.612957750047956,0.9939055154262288,6.628483704158238,0.7291176963280986
