Id,SMILES,Protein,Ligand,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,Binding probability mean,Binding probability std,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
0_lig_assembled_0_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccccc3C(N)=O)nn2)O1,protein.pdb,0_lig_assembled_0_pdb_processed.sdf,40,566.524,None,0.2,0.4,-6.509912835,-0.7441066621,-0.1627478209,-0.01860266655,4.800977809,0.8305372839,4.822157655,0.5511901201
11_lig_assembled_1_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCO)nn2)O1,protein.pdb,11_lig_assembled_1_pdb_processed.sdf,34,491.454,None,0.2,0.4,-5.426893253,-0.7561848208,-0.1596145074,-0.02224073002,3.859130655,0.6629512072,4.019920928,0.5601369043
22_lig_assembled_2_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(Cl)cc3)nn2)O1,protein.pdb,22_lig_assembled_2_pdb_processed.sdf,38,557.944,None,0.2,0.4,-7.357566231,-0.6808934411,-0.193620164,-0.01791824845,5.257957663,0.6844277921,5.45004906,0.5043655119
33_lig_assembled_3_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccccc3)nn2)O1,protein.pdb,33_lig_assembled_3_pdb_processed.sdf,37,523.499,None,0.2,0.4,-7.309783796,-0.3440393323,-0.1975617242,-0.009298360332,5.568982192,0.3586251322,5.414654664,0.2548439498
43_lig_assembled_4_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccccc3C(C)C)nn2)O1,protein.pdb,43_lig_assembled_4_pdb_processed.sdf,40,565.58,None,0.2,0.4,-6.664324021,-0.6377893641,-0.1666081005,-0.0159447341,4.956886019,0.6692544161,4.936536312,0.472436566
54_lig_assembled_5_pdb,COc1ccc(-n2cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]3O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]3NC(C)=O)nn2)cc1,protein.pdb,54_lig_assembled_5_pdb_processed.sdf,39,553.525,None,0.2,0.4,-6.870472445,-0.8537042033,-0.1761659601,-0.02188985137,5.097159863,0.6835300544,5.089238848,0.632373484
60_lig_assembled_6_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc([N+](=O)[O-])cc3)nn2)O1,protein.pdb,60_lig_assembled_6_pdb_processed.sdf,40,568.496,None,0.2000001155,0.3999999423,-7.783163186,-0.7109246892,-0.1945790797,-0.01777311723,5.7356534,0.5667223716,5.765306064,0.5266108809
71_lig_assembled_7_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3c(C)cc(C)cc3C)nn2)O1,protein.pdb,71_lig_assembled_7_pdb_processed.sdf,40,565.58,None,0.2000000028,0.3999999986,-8.224478286,-1.35493352,-0.2056119571,-0.03387333801,5.972092152,0.8810264608,6.092206138,1.003654459
81_lig_assembled_8_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccccc3Br)nn2)O1,protein.pdb,81_lig_assembled_8_pdb_processed.sdf,38,602.395,None,0.2,0.4,-6.813012079,-0.3917063899,-0.1792897915,-0.01030806289,5.101646287,0.5790665535,5.046675614,0.2901528814
86_lig_assembled_9_pdb,CCOC(=O)c1cccc(-n2cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]3O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]3NC(C)=O)nn2)c1,protein.pdb,86_lig_assembled_9_pdb_processed.sdf,42,595.562,None,0.2,0.4,-6.373797011,-0.6633428157,-0.1517570717,-0.01579387656,4.556205545,0.6095545419,4.72133112,0.4913650487
1_lig_assembled_10_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](CC(=O)O)C(=O)O)nn2)O1,protein.pdb,1_lig_assembled_10_pdb_processed.sdf,39,563.473,None,0.2,0.4,-6.197995223,-0.5097362601,-0.1589229544,-0.01307016052,4.486995356,0.3459447265,4.591107573,0.3775824149
2_lig_assembled_11_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](CCC(=O)O)C(=O)O)nn2)O1,protein.pdb,2_lig_assembled_11_pdb_processed.sdf,40,577.5,None,0.2,0.4,-6.402837978,-0.3888467848,-0.1600709495,-0.00972116962,4.782956736,0.1948604612,4.742842947,0.2880346554
3_lig_assembled_12_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(COCc3ccccc3)nn2)O1,protein.pdb,3_lig_assembled_12_pdb_processed.sdf,40,567.552,None,0.2000000028,0.3999999986,-6.731112129,-1.093223273,-0.1682778032,-0.02733058182,4.986051219,0.7045342059,4.986008985,0.809795017
4_lig_assembled_13_pdb,CCOC(=O)Cn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,4_lig_assembled_13_pdb_processed.sdf,37,533.491,None,0.2,0.4,-7.217707668,-0.3527421284,-0.1950731802,-0.009533571039,5.380396911,0.371074139,5.346450124,0.2612904655
5_lig_assembled_14_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCN3CCCC3)nn2)O1,protein.pdb,5_lig_assembled_14_pdb_processed.sdf,38,544.562,None,0.2,0.4,-6.184995047,-0.9559128661,-0.1627630275,-0.02515560174,4.465907778,0.7506586324,4.581477812,0.7080836045
6_lig_assembled_15_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(Br)cc3)nn2)O1,protein.pdb,6_lig_assembled_15_pdb_processed.sdf,38,602.395,None,0.2,0.4,-6.946900136,-0.6272004379,-0.1828131615,-0.01650527468,5.138973168,0.6525315294,5.145851953,0.464592917
