,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-6.32,-6.148,-6.066,-5.989,-5.966,-5.944,-5.875,-5.861,-5.854,-5.826,-5.813,-5.773,-5.767,-5.608,-5.593,-5.579,-5.576,-5.533,-5.497,-5.469
1,-6.423,-6.375,-6.371,-6.182,-6.153,-6.133,-6.114,-6.097,-6.089,-6.006,-5.977,-5.97,-5.963,-5.947,-5.867,-5.844,-5.843,-5.821,-5.805,-5.788
2,-5.978,-5.968,-5.805,-5.748,-5.727,-5.674,-5.651,-5.538,-5.5,-5.438,-5.415,-5.361,-5.342,-5.308,-5.296,-5.29,-5.28,-5.259,-5.233,-5.179
3,-6.207,-6.046,-6.019,-6.008,-5.926,-5.901,-5.843,-5.792,-5.744,-5.733,-5.717,-5.714,-5.711,-5.709,-5.678,-5.673,-5.635,-5.625,-5.606,-5.574
4,-4.938,-4.861,-4.86,-4.834,-4.744,-4.738,-4.67,-4.667,-4.572,-4.562,-4.553,-4.535,-4.518,-4.464,-4.45,-4.403,-4.349,-4.342,-4.291,-4.198
5,-5.983,-5.923,-5.839,-5.767,-5.705,-5.697,-5.572,-5.559,-5.544,-5.535,-5.513,-5.383,-5.361,-5.35,-5.341,-5.336,-5.334,-5.33,-5.316,-5.291
6,-6.956,-6.881,-6.839,-6.748,-6.698,-6.675,-6.646,-6.595,-6.577,-6.506,-6.401,-6.392,-6.389,-6.38,-6.377,-6.336,-6.32,-6.295,-6.275,-6.241
7,-6.47,-6.411,-6.352,-6.309,-6.253,-6.217,-6.206,-6.178,-6.171,-6.169,-6.163,-6.119,-6.113,-6.088,-6.076,-6.065,-6.033,-6.027,-6.019,-6.011
8,-6.326,-6.072,-5.91,-5.87,-5.792,-5.777,-5.766,-5.746,-5.695,-5.691,-5.646,-5.636,-5.631,-5.525,-5.509,-5.505,-5.497,-5.484,-5.459,-5.417
9,-6.419,-6.407,-6.275,-6.261,-6.171,-6.127,-6.111,-6.069,-6.056,-6.039,-6.023,-6.021,-5.982,-5.96,-5.949,-5.948,-5.92,-5.902,-5.877,-5.855
10,-6.04,-5.809,-5.805,-5.802,-5.769,-5.659,-5.546,-5.524,-5.505,-5.489,-5.474,-5.448,-5.447,-5.445,-5.411,-5.387,-5.362,-5.346,-5.296,-5.225
11,-5.963,-5.776,-5.682,-5.598,-5.553,-5.461,-5.45,-5.444,-5.437,-5.411,-5.408,-5.394,-5.389,-5.322,-5.28,-5.28,-5.271,-5.239,-5.227,-5.168
12,-7.185,-6.957,-6.941,-6.902,-6.871,-6.75,-6.706,-6.615,-6.603,-6.572,-6.495,-6.471,-6.414,-6.41,-6.393,-6.39,-6.382,-6.368,-6.35,-6.343
13,-5.841,-5.593,-5.544,-5.477,-5.476,-5.464,-5.413,-5.391,-5.363,-5.336,-5.286,-5.281,-5.233,-5.226,-5.207,-5.193,-5.191,-5.183,-5.121,-5.111
14,-6.829,-6.827,-6.581,-6.571,-6.561,-6.516,-6.515,-6.462,-6.456,-6.422,-6.411,-6.377,-6.335,-6.33,-6.275,-6.275,-6.257,-6.228,-6.208,-6.204
15,-6.198,-6.116,-5.995,-5.658,-5.636,-5.545,-5.511,-5.492,-5.444,-5.442,-5.368,-5.364,-5.357,-5.356,-5.289,-5.284,-5.233,-5.203,-5.178,-5.075
