,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-4.535,-4.474,-4.44,-4.396,-4.325,-4.282,-4.232,-4.219,-4.143,-4.141,-4.137,-4.128,-4.124,-4.111,-4.066,-4.054,-4.029,-4.006,-3.988,-3.972
1,-3.818,-3.814,-3.784,-3.757,-3.723,-3.683,-3.661,-3.659,-3.649,-3.623,-3.605,-3.599,-3.57,-3.555,-3.552,-3.533,-3.487,-3.478,-3.456,-3.445
2,-5.27,-5.244,-5.238,-5.229,-5.222,-5.179,-5.143,-5.143,-5.14,-5.11,-5.084,-5.081,-5.07,-5.033,-5.016,-4.96,-4.951,-4.927,-4.909,-4.892
3,-4.821,-4.768,-4.757,-4.724,-4.709,-4.687,-4.676,-4.628,-4.617,-4.584,-4.56,-4.545,-4.543,-4.543,-4.535,-4.522,-4.511,-4.495,-4.493,-4.483
4,-4.917,-4.841,-4.739,-4.658,-4.646,-4.604,-4.583,-4.568,-4.538,-4.536,-4.502,-4.455,-4.415,-4.406,-4.39,-4.376,-4.362,-4.332,-4.305,-4.26
5,-5.102,-5.054,-5.031,-5.013,-5.004,-4.99,-4.937,-4.926,-4.9,-4.813,-4.804,-4.8,-4.795,-4.762,-4.748,-4.697,-4.691,-4.657,-4.593,-4.585
6,-5.166,-5.134,-5.043,-5.041,-5.03,-5.004,-4.938,-4.933,-4.93,-4.869,-4.798,-4.797,-4.795,-4.78,-4.776,-4.752,-4.727,-4.691,-4.663,-4.649
7,-4.731,-4.709,-4.697,-4.528,-4.511,-4.501,-4.49,-4.368,-4.366,-4.343,-4.327,-4.306,-4.302,-4.294,-4.27,-4.256,-4.24,-4.235,-4.179,-4.174
8,-5.97,-5.907,-5.693,-5.655,-5.61,-5.553,-5.53,-5.504,-5.494,-5.483,-5.463,-5.458,-5.455,-5.381,-5.374,-5.344,-5.343,-5.333,-5.305,-5.295
9,-4.277,-3.977,-3.785,-3.764,-3.759,-3.693,-3.686,-3.682,-3.675,-3.657,-3.613,-3.555,-3.538,-3.513,-3.507,-3.505,-3.438,-3.431,-3.389,-3.388
10,-4.345,-4.229,-4.221,-4.158,-4.087,-4.051,-4.036,-3.944,-3.922,-3.914,-3.911,-3.907,-3.902,-3.901,-3.868,-3.856,-3.851,-3.842,-3.815,-3.78
11,-5.219,-5.048,-4.971,-4.954,-4.929,-4.921,-4.894,-4.887,-4.866,-4.859,-4.84,-4.832,-4.808,-4.793,-4.771,-4.766,-4.765,-4.762,-4.755,-4.691
12,-5.772,-5.764,-5.691,-5.582,-5.508,-5.487,-5.478,-5.463,-5.417,-5.407,-5.405,-5.396,-5.396,-5.39,-5.38,-5.374,-5.326,-5.303,-5.296,-5.249
13,-3.297,-3.284,-3.219,-3.188,-3.175,-3.17,-3.162,-3.15,-3.148,-3.148,-3.098,-3.071,-3.042,-3.033,-3.029,-3.015,-2.997,-2.994,-2.902,-2.859
14,-4.781,-4.546,-4.496,-4.496,-4.488,-4.447,-4.379,-4.379,-4.332,-4.33,-4.318,-4.311,-4.301,-4.264,-4.26,-4.223,-4.221,-4.185,-4.144,-4.13
15,-4.914,-4.883,-4.753,-4.727,-4.639,-4.618,-4.565,-4.562,-4.515,-4.47,-4.463,-4.411,-4.41,-4.406,-4.396,-4.348,-4.345,-4.321,-4.317,-4.283
16,-5.714,-5.693,-5.638,-5.535,-5.503,-5.49,-5.466,-5.466,-5.383,-5.356,-5.328,-5.296,-5.296,-5.264,-5.257,-5.209,-5.165,-5.141,-5.133,-5.131
17,-4.818,-4.542,-4.469,-4.317,-4.305,-4.289,-4.262,-4.256,-4.241,-4.204,-4.188,-4.168,-4.163,-4.139,-4.131,-4.128,-4.103,-4.089,-3.989,-3.986
18,-5.052,-5.015,-4.942,-4.932,-4.929,-4.864,-4.858,-4.857,-4.843,-4.821,-4.794,-4.784,-4.758,-4.754,-4.753,-4.752,-4.746,-4.698,-4.696,-4.694
19,-3.584,-3.579,-3.528,-3.453,-3.357,-3.349,-3.328,-3.322,-3.32,-3.301,-3.295,-3.279,-3.279,-3.272,-3.264,-3.236,-3.217,-3.194,-3.182,-3.154
20,-4.762,-4.515,-4.439,-4.425,-4.412,-4.411,-4.353,-4.291,-4.275,-4.245,-4.233,-4.221,-4.22,-4.212,-4.208,-4.205,-4.122,-4.108,-4.075,-4.022
21,-5.388,-5.357,-5.321,-5.286,-5.266,-5.249,-5.22,-5.2,-5.197,-5.193,-5.185,-5.165,-5.154,-5.129,-5.123,-5.064,-5.022,-4.997,-4.955,-4.954
22,-5.298,-4.924,-4.89,-4.862,-4.8,-4.776,-4.755,-4.704,-4.689,-4.625,-4.58,-4.544,-4.537,-4.53,-4.475,-4.474,-4.458,-4.443,-4.419,-4.391
23,-4.66,-4.523,-4.456,-4.439,-4.431,-4.39,-4.348,-4.241,-4.163,-4.152,-4.148,-4.147,-4.118,-4.096,-4.074,-4.064,-4.063,-3.997,-3.965,-3.957
24,-4.59,-4.533,-4.53,-4.514,-4.497,-4.45,-4.388,-4.371,-4.37,-4.342,-4.336,-4.325,-4.305,-4.288,-4.259,-4.254,-4.216,-4.182,-4.129,-4.126
25,-5.601,-5.337,-4.949,-4.939,-4.878,-4.75,-4.745,-4.686,-4.615,-4.598,-4.551,-4.539,-4.494,-4.45,-4.431,-4.399,-4.398,-4.368,-4.34,-4.335
26,-4.597,-4.549,-4.542,-4.512,-4.466,-4.462,-4.448,-4.431,-4.429,-4.426,-4.345,-4.313,-4.31,-4.29,-4.231,-4.215,-4.188,-4.139,-4.123,-4.077
27,-5.748,-5.672,-5.525,-5.385,-5.335,-5.245,-5.227,-5.224,-5.201,-5.198,-5.197,-5.18,-5.052,-5.025,-4.996,-4.986,-4.976,-4.946,-4.931,-4.903
28,-5.964,-5.714,-5.608,-5.407,-5.35,-5.348,-5.338,-5.309,-5.295,-5.278,-5.231,-5.201,-5.198,-5.171,-5.167,-5.162,-5.154,-5.111,-5.047,-5.021
29,-4.797,-4.735,-4.66,-4.658,-4.654,-4.621,-4.523,-4.496,-4.495,-4.448,-4.425,-4.409,-4.389,-4.375,-4.337,-4.336,-4.273,-4.267,-4.252,-4.216
30,-5.351,-5.23,-5.217,-5.205,-5.192,-5.147,-5.142,-5.095,-5.064,-5.036,-4.996,-4.994,-4.992,-4.935,-4.923,-4.903,-4.848,-4.829,-4.803,-4.777
31,-5.059,-5.026,-4.917,-4.876,-4.872,-4.869,-4.867,-4.847,-4.806,-4.799,-4.766,-4.761,-4.746,-4.71,-4.648,-4.58,-4.578,-4.552,-4.477,-4.476
32,-5.404,-4.863,-4.816,-4.791,-4.762,-4.67,-4.62,-4.61,-4.609,-4.592,-4.585,-4.583,-4.573,-4.554,-4.542,-4.533,-4.509,-4.488,-4.486,-4.459
33,-5.032,-4.996,-4.861,-4.841,-4.827,-4.826,-4.772,-4.744,-4.74,-4.724,-4.648,-4.627,-4.609,-4.573,-4.55,-4.533,-4.525,-4.514,-4.463,-4.455
34,-5.715,-5.673,-5.646,-5.624,-5.614,-5.562,-5.555,-5.534,-5.494,-5.493,-5.461,-5.459,-5.458,-5.408,-5.397,-5.369,-5.351,-5.244,-5.239,-5.179
35,-4.671,-4.546,-4.478,-4.351,-4.345,-4.322,-4.299,-4.282,-4.277,-4.272,-4.219,-4.2,-4.185,-4.151,-4.125,-4.12,-4.109,-4.104,-4.1,-4.079
36,-5.763,-5.493,-5.487,-5.463,-5.443,-5.327,-5.314,-5.297,-5.224,-5.199,-5.183,-5.18,-5.17,-5.165,-5.16,-5.152,-5.139,-5.135,-5.074,-5.058
37,-5.013,-4.858,-4.85,-4.802,-4.788,-4.748,-4.724,-4.703,-4.695,-4.662,-4.647,-4.64,-4.601,-4.57,-4.53,-4.514,-4.498,-4.483,-4.433,-4.42
38,-5.85,-5.656,-5.631,-5.546,-5.532,-5.508,-5.466,-5.448,-5.362,-5.287,-5.273,-5.268,-5.23,-5.221,-5.203,-5.18,-5.172,-5.12,-5.117,-5.069
39,-6.115,-6.082,-6.082,-6.023,-5.999,-5.979,-5.974,-5.895,-5.832,-5.808,-5.733,-5.677,-5.662,-5.634,-5.608,-5.578,-5.548,-5.543,-5.51,-5.502
40,-5.648,-5.602,-5.542,-5.438,-5.341,-5.302,-5.296,-5.283,-5.228,-5.213,-5.173,-5.148,-5.145,-5.104,-5.091,-5.049,-5.035,-5.031,-5.021,-4.975
41,-4.95,-4.737,-4.649,-4.569,-4.536,-4.493,-4.399,-4.378,-4.377,-4.374,-4.359,-4.343,-4.336,-4.317,-4.298,-4.243,-4.212,-4.201,-4.17,-4.162
42,-5.48,-5.367,-5.342,-5.228,-5.149,-5.143,-5.128,-5.117,-5.097,-5.082,-5.068,-5.016,-4.992,-4.972,-4.959,-4.948,-4.929,-4.913,-4.911,-4.896
43,-4.472,-4.365,-4.274,-4.219,-4.214,-4.2,-4.13,-4.117,-4.111,-4.111,-4.11,-4.096,-4.096,-4.095,-4.092,-4.071,-4.049,-4.035,-3.955,-3.937
44,-4.483,-4.217,-4.146,-4.101,-4.062,-4.045,-4.015,-3.98,-3.922,-3.892,-3.87,-3.835,-3.835,-3.822,-3.801,-3.773,-3.738,-3.731,-3.723,-3.697
45,-4.364,-4.352,-4.288,-4.119,-4.001,-3.947,-3.907,-3.831,-3.822,-3.805,-3.791,-3.77,-3.748,-3.741,-3.728,-3.696,-3.686,-3.666,-3.609,-3.579
46,-4.792,-4.662,-4.48,-4.389,-4.343,-4.341,-4.26,-4.211,-4.208,-4.208,-4.196,-4.16,-4.145,-4.097,-4.081,-4.051,-4.004,-3.985,-3.982,-3.928
47,-5.364,-5.335,-5.18,-5.179,-5.097,-5.086,-5.034,-5.021,-5.006,-4.987,-4.985,-4.954,-4.925,-4.887,-4.867,-4.853,-4.813,-4.812,-4.795,-4.756
48,-5.165,-5.132,-5.104,-5.073,-4.922,-4.916,-4.869,-4.853,-4.834,-4.825,-4.803,-4.798,-4.786,-4.753,-4.75,-4.741,-4.741,-4.733,-4.731,-4.712
49,-4.726,-4.657,-4.58,-4.525,-4.471,-4.449,-4.419,-4.414,-4.376,-4.371,-4.37,-4.366,-4.364,-4.363,-4.256,-4.248,-4.211,-4.205,-4.155,-4.118
50,-4.59,-4.402,-4.4,-4.389,-4.387,-4.332,-4.307,-4.306,-4.273,-4.267,-4.266,-4.258,-4.255,-4.237,-4.227,-4.201,-4.183,-4.161,-4.145,-4.132
51,-5.463,-5.159,-5.113,-5.08,-5.041,-5.007,-4.995,-4.984,-4.886,-4.836,-4.821,-4.819,-4.813,-4.781,-4.778,-4.755,-4.741,-4.74,-4.714,-4.689
52,-4.676,-4.43,-4.426,-4.36,-4.305,-4.293,-4.292,-4.224,-4.216,-4.209,-4.185,-4.183,-4.173,-4.172,-4.154,-4.144,-4.107,-4.102,-4.076,-3.969
53,-4.077,-3.96,-3.935,-3.92,-3.867,-3.84,-3.695,-3.687,-3.686,-3.65,-3.649,-3.618,-3.594,-3.589,-3.572,-3.567,-3.543,-3.514,-3.511,-3.486
54,-3.443,-3.323,-3.225,-3.148,-3.124,-3.109,-3.092,-3.091,-3.091,-3.06,-3.043,-3.019,-3.012,-3.011,-2.998,-2.977,-2.944,-2.944,-2.874,-2.874
55,-3.831,-3.822,-3.753,-3.743,-3.641,-3.625,-3.616,-3.61,-3.596,-3.582,-3.549,-3.531,-3.507,-3.5,-3.486,-3.474,-3.45,-3.423,-3.409,-3.324
56,-4.295,-4.024,-3.95,-3.936,-3.935,-3.933,-3.926,-3.887,-3.858,-3.804,-3.775,-3.731,-3.714,-3.69,-3.676,-3.675,-3.622,-3.612,-3.594,-3.525
57,-5.706,-5.658,-5.579,-5.563,-5.481,-5.464,-5.425,-5.409,-5.408,-5.374,-5.348,-5.343,-5.307,-5.292,-5.28,-5.269,-5.268,-5.268,-5.246,-5.194
58,-5.767,-5.554,-5.546,-5.475,-5.449,-5.345,-5.324,-5.295,-5.242,-5.24,-5.235,-5.217,-5.165,-5.14,-5.131,-5.087,-5.019,-5.003,-4.983,-4.979
59,-5.695,-5.531,-5.524,-5.508,-5.483,-5.414,-5.378,-5.374,-5.32,-5.24,-5.237,-5.212,-5.2,-5.193,-5.174,-5.122,-5.114,-5.114,-5.089,-5.08
