,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-4.98,-4.634,-4.558,-4.452,-4.452,-4.446,-4.38,-4.344,-4.305,-4.294,-4.289,-4.271,-4.197,-4.18,-4.126,-4.097,-4.094,-4.064,-4.058,-3.887
1,-3.56,-3.479,-3.456,-3.433,-3.308,-3.276,-3.098,-3.062,-3.05,-3.044,-3.009,-2.981,-2.898,-2.815,-2.775,-2.727,-2.706,-2.667,-2.604,-2.59
2,-4.329,-4.163,-4.115,-4.013,-3.99,-3.937,-3.933,-3.759,-3.693,-3.666,-3.631,-3.61,-3.604,-3.566,-3.533,-3.513,-3.501,-3.468,-3.441,-3.434
3,-5.013,-4.975,-4.975,-4.848,-4.746,-4.702,-4.594,-4.583,-4.574,-4.519,-4.422,-4.395,-4.395,-4.341,-4.316,-4.3,-4.278,-4.237,-4.218,-4.135
4,-4.622,-4.495,-4.458,-4.431,-4.416,-4.409,-4.376,-4.29,-4.273,-4.198,-4.152,-4.151,-4.127,-3.954,-3.901,-3.848,-3.829,-3.804,-3.793,-3.758
5,-4.436,-4.301,-4.253,-4.247,-4.231,-4.164,-4.069,-4.05,-3.964,-3.901,-3.863,-3.856,-3.847,-3.781,-3.761,-3.752,-3.729,-3.685,-3.612,-3.523
6,-4.513,-4.37,-4.258,-4.246,-4.047,-3.988,-3.972,-3.966,-3.949,-3.838,-3.779,-3.712,-3.681,-3.677,-3.612,-3.59,-3.535,-3.511,-3.504,-3.45
7,-5.107,-5.065,-4.882,-4.876,-4.874,-4.825,-4.721,-4.622,-4.53,-4.512,-4.469,-4.43,-4.424,-4.418,-4.313,-4.274,-4.231,-4.09,-4.085,-4.073
8,-6.11,-6.089,-5.796,-5.765,-5.763,-5.755,-5.739,-5.694,-5.652,-5.63,-5.616,-5.597,-5.511,-5.479,-5.465,-5.444,-5.413,-5.408,-5.396,-5.33
9,-4.548,-4.486,-4.454,-4.427,-4.374,-4.243,-4.211,-4.203,-4.177,-4.125,-4.116,-4.1,-4.075,-3.984,-3.979,-3.976,-3.895,-3.891,-3.883,-3.85
10,-4.584,-4.574,-4.524,-4.398,-4.251,-4.194,-4.18,-4.131,-4.076,-4.065,-3.991,-3.975,-3.945,-3.938,-3.928,-3.861,-3.782,-3.775,-3.743,-3.652
11,-4.392,-4.246,-4.235,-4.229,-4.193,-4.19,-4.182,-4.148,-4.125,-4.014,-3.975,-3.926,-3.87,-3.868,-3.837,-3.825,-3.79,-3.788,-3.767,-3.69
12,-6.277,-6.091,-5.91,-5.829,-5.752,-5.744,-5.715,-5.686,-5.662,-5.62,-5.595,-5.524,-5.522,-5.499,-5.494,-5.483,-5.482,-5.466,-5.461,-5.446
13,-3.542,-3.513,-3.445,-3.369,-3.346,-3.317,-3.267,-3.267,-3.245,-3.233,-3.228,-3.13,-3.092,-3.09,-3.077,-3.072,-3.012,-2.991,-2.927,-2.882
14,-3.822,-3.602,-3.601,-3.542,-3.539,-3.517,-3.496,-3.457,-3.425,-3.394,-3.383,-3.374,-3.358,-3.339,-3.307,-3.231,-3.206,-3.184,-3.062,-2.945
15,-4.434,-4.29,-4.285,-4.271,-4.141,-4.054,-4.016,-3.983,-3.854,-3.789,-3.782,-3.752,-3.732,-3.677,-3.665,-3.662,-3.642,-3.635,-3.516,-3.511
16,-5.117,-5.057,-4.99,-4.919,-4.536,-4.525,-4.515,-4.401,-4.353,-4.293,-4.293,-4.239,-4.238,-4.235,-4.129,-4.12,-4.109,-4.06,-4.045,-4.016
