,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-4.31,-3.912,-3.907,-3.901,-3.856,-3.849,-3.611,-3.578,-3.573,-3.421,-3.404,-3.354,-2.945,-2.941,-2.937,-2.925,-2.828,-2.828,-2.806,-2.782
1,-3.139,-3.126,-2.679,-2.592,-2.548,-2.52,-2.423,-2.407,-2.325,-2.115,-2.107,-1.883,-1.805,-1.613,-1.5,-1.5,-1.408,-1.342,-1.331,-1.252
2,-4.715,-4.703,-4.508,-4.306,-4.266,-4.249,-4.214,-4.156,-3.977,-3.95,-3.941,-3.56,-3.476,-3.457,-3.39,-3.291,-3.104,-2.989,-2.966,-2.833
3,-4.013,-3.848,-3.702,-3.561,-3.519,-3.449,-3.413,-3.241,-3.22,-3.05,-2.964,-2.941,-2.918,-2.91,-2.903,-2.896,-2.602,-2.558,-2.515,-2.498
4,-5.523,-5.409,-5.38,-5.251,-5.244,-5.235,-5.208,-5.17,-5.17,-5.002,-4.969,-4.902,-4.9,-4.729,-4.635,-4.546,-4.537,-4.461,-4.278,-4.121
5,-3.804,-3.645,-3.52,-3.474,-3.376,-3.348,-3.321,-3.23,-3.218,-3.186,-3.065,-2.986,-2.964,-2.963,-2.925,-2.793,-2.787,-2.712,-2.637,-2.593
6,-4.209,-4.059,-3.97,-3.914,-3.895,-3.852,-3.81,-3.738,-3.608,-3.602,-3.443,-3.438,-3.419,-3.336,-3.232,-3.106,-3.086,-2.868,-2.811,-2.785
7,-4.592,-4.516,-4.46,-4.379,-4.352,-4.271,-4.266,-4.246,-4.235,-3.97,-3.863,-3.859,-3.723,-3.66,-3.654,-3.644,-3.604,-3.557,-3.533,-3.519
8,-4.171,-3.993,-3.9,-3.833,-3.817,-3.772,-3.693,-3.688,-3.585,-3.312,-3.214,-3.183,-3.175,-3.172,-3.05,-2.853,-2.74,-2.573,-2.435,-2.408
9,-4.467,-4.178,-3.947,-3.896,-3.896,-3.878,-3.874,-3.823,-3.694,-3.601,-3.585,-3.548,-3.512,-3.465,-3.428,-3.409,-3.349,-3.306,-3.263,-3.143
10,-4.693,-4.646,-4.398,-4.314,-4.212,-4.156,-4.089,-3.932,-3.864,-3.844,-3.83,-3.73,-3.681,-3.64,-3.623,-3.62,-3.583,-3.501,-3.453,-3.359
