,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-4.809,-4.705,-4.28,-4.235,-4.216,-4.078,-4.065,-4.048,-4.026,-3.961,-3.947,-3.935,-3.844,-3.8,-3.793,-3.793,-3.771,-3.716,-3.675,-3.675
1,-3.608,-3.58,-3.558,-3.549,-3.208,-3.168,-3.162,-3.058,-2.965,-2.667,-2.598,-2.47,-2.467,-2.419,-2.402,-2.388,-2.376,-2.35,-2.209,-2.191
2,-4.499,-4.456,-4.408,-4.371,-4.371,-4.309,-4.268,-4.153,-4.043,-3.982,-3.857,-3.782,-3.769,-3.745,-3.743,-3.735,-3.596,-3.331,-3.306,-3.278
3,-5.091,-5.072,-5.009,-4.968,-4.917,-4.733,-4.719,-4.627,-4.587,-4.579,-4.566,-4.51,-4.496,-4.486,-4.284,-4.28,-4.244,-4.167,-4.138,-4.072
4,-4.456,-4.393,-4.316,-4.271,-4.261,-4.196,-4.191,-4.167,-4.166,-4.116,-4.017,-4.011,-4.002,-3.908,-3.894,-3.846,-3.813,-3.769,-3.751,-3.703
5,-4.897,-4.882,-4.857,-4.785,-4.758,-4.753,-4.665,-4.593,-4.446,-4.424,-4.372,-4.354,-4.354,-4.18,-4.153,-4.089,-4.086,-3.903,-3.842,-3.794
6,-4.596,-4.307,-4.293,-4.293,-4.016,-4.013,-3.975,-3.848,-3.762,-3.671,-3.592,-3.527,-3.437,-3.406,-3.369,-3.337,-3.321,-3.305,-3.22,-3.18
7,-5.091,-5.068,-4.527,-4.522,-4.455,-4.397,-4.383,-4.345,-4.315,-4.228,-4.057,-3.961,-3.961,-3.929,-3.805,-3.797,-3.741,-3.734,-3.68,-3.667
8,-4.145,-4.003,-3.897,-3.861,-3.785,-3.771,-3.623,-3.605,-3.557,-3.543,-3.493,-3.476,-3.391,-3.368,-3.288,-3.159,-3.134,-3.015,-3.009,-2.938
9,-4.63,-4.586,-4.58,-4.57,-4.535,-4.494,-4.293,-4.208,-4.199,-4.192,-4.157,-4.149,-4.145,-4.145,-4.054,-4.027,-3.953,-3.917,-3.901,-3.708
10,-4.159,-4.152,-4.101,-4.043,-3.901,-3.876,-3.872,-3.796,-3.708,-3.588,-3.551,-3.528,-3.328,-3.312,-3.269,-3.262,-3.162,-3.156,-3.124,-2.992
11,-4.773,-4.697,-4.694,-4.685,-4.669,-4.567,-4.557,-4.398,-4.373,-4.371,-4.313,-4.257,-4.061,-4.04,-4.008,-3.688,-3.688,-3.687,-3.672,-3.54
12,-4.734,-4.71,-4.426,-4.306,-4.289,-4.225,-4.171,-4.122,-4.097,-4.086,-4.085,-4.043,-4.039,-4.025,-3.947,-3.912,-3.874,-3.794,-3.617,-3.61
13,-3.319,-3.101,-3.089,-3.046,-3.01,-2.971,-2.899,-2.875,-2.869,-2.857,-2.828,-2.803,-2.771,-2.771,-2.766,-2.748,-2.661,-2.625,-2.621,-2.582
