,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-6.026,-5.761,-5.632,-5.42,-5.384,-5.34,-5.307,-5.283,-5.28,-5.274,-5.273,-5.249,-5.241,-5.237,-5.198,-5.166,-5.142,-5.139,-5.111,-5.075
1,-3.567,-3.449,-3.383,-3.347,-3.307,-3.242,-3.239,-3.214,-3.21,-3.205,-3.201,-3.193,-3.189,-3.16,-3.154,-3.113,-3.102,-3.094,-3.087,-3.06
2,-4.713,-4.712,-4.56,-4.538,-4.44,-4.246,-4.24,-4.235,-4.231,-4.216,-4.163,-4.102,-4.052,-4.015,-4.013,-4.009,-3.999,-3.997,-3.992,-3.91
3,-6.053,-6.049,-5.902,-5.892,-5.776,-5.769,-5.714,-5.696,-5.554,-5.512,-5.511,-5.402,-5.387,-5.377,-5.316,-5.238,-5.229,-5.202,-5.1,-5.047
4,-4.735,-4.646,-4.485,-4.474,-4.318,-4.28,-4.276,-4.262,-4.222,-4.22,-4.174,-4.148,-4.115,-4.066,-4.057,-4.038,-4.019,-4.004,-3.978,-3.964
5,-5.447,-5.442,-5.34,-5.327,-5.325,-5.134,-5.102,-5.039,-5.03,-5.007,-4.976,-4.972,-4.935,-4.876,-4.868,-4.847,-4.837,-4.835,-4.778,-4.732
6,-5.962,-5.875,-5.696,-5.586,-5.574,-5.568,-5.538,-5.529,-5.473,-5.436,-5.342,-5.339,-5.251,-5.234,-5.22,-5.142,-5.134,-5.116,-5.114,-5.113
7,-5.145,-4.999,-4.998,-4.982,-4.851,-4.842,-4.826,-4.792,-4.729,-4.716,-4.712,-4.691,-4.68,-4.651,-4.63,-4.618,-4.612,-4.587,-4.554,-4.554
8,-6.078,-6.059,-5.844,-5.84,-5.81,-5.763,-5.701,-5.684,-5.655,-5.629,-5.545,-5.509,-5.492,-5.485,-5.469,-5.458,-5.444,-5.443,-5.434,-5.386
9,-5.521,-5.455,-5.328,-5.202,-5.138,-5.088,-5.035,-5.023,-4.997,-4.997,-4.915,-4.891,-4.89,-4.853,-4.843,-4.822,-4.81,-4.79,-4.772,-4.745
10,-5.014,-5.004,-4.94,-4.916,-4.865,-4.858,-4.717,-4.707,-4.675,-4.648,-4.63,-4.626,-4.601,-4.504,-4.5,-4.473,-4.458,-4.39,-4.329,-4.302
11,-4.298,-4.261,-4.127,-4.091,-4.031,-4.016,-4.014,-4.001,-3.995,-3.962,-3.952,-3.898,-3.896,-3.895,-3.866,-3.854,-3.829,-3.722,-3.719,-3.683
12,-6.674,-6.557,-6.54,-6.397,-6.38,-6.283,-6.281,-6.192,-6.174,-6.141,-6.111,-6.081,-6.005,-5.939,-5.908,-5.882,-5.857,-5.806,-5.769,-5.76
13,-4.566,-4.511,-4.374,-4.281,-4.268,-4.212,-4.208,-4.203,-4.146,-4.131,-4.123,-4.114,-4.112,-4.082,-4.079,-4.075,-4.056,-4.051,-4.031,-4.015
14,-4.688,-4.677,-4.623,-4.584,-4.559,-4.538,-4.489,-4.47,-4.444,-4.385,-4.37,-4.329,-4.3,-4.278,-4.278,-4.241,-4.223,-4.204,-4.154,-4.085
15,-5.978,-5.714,-5.471,-5.459,-5.416,-5.412,-5.409,-5.303,-5.303,-5.291,-5.274,-5.247,-5.19,-5.184,-5.122,-5.116,-5.101,-5.083,-5.06,-5.005
16,-6.311,-6.098,-6.092,-6.078,-6.056,-6.016,-6.011,-6.003,-5.966,-5.938,-5.922,-5.903,-5.857,-5.758,-5.757,-5.735,-5.687,-5.685,-5.645,-5.645
17,-4.036,-3.995,-3.874,-3.847,-3.786,-3.669,-3.644,-3.63,-3.625,-3.624,-3.608,-3.574,-3.53,-3.522,-3.5,-3.472,-3.439,-3.438,-3.383,-3.323
18,-4.849,-4.702,-4.631,-4.549,-4.488,-4.485,-4.474,-4.432,-4.287,-4.249,-4.201,-4.192,-4.182,-4.177,-4.164,-4.157,-4.139,-4.126,-4.077,-4.06
