Id,SMILES,Protein,Ligand,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,Binding probability mean,Binding probability std,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
0_lig_assembled_10_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](CC(=O)O)C(=O)O)nn2)O1,protein.pdb,0_lig_assembled_10_pdb_processed.sdf,39,563.473,None,0.2,0.4,-6.197994855,-0.5097361429,-0.158922945,-0.01307015751,4.486995288,0.3459449911,4.5911073,0.3775823281
1_lig_assembled_10_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](CC(=O)O)C(=O)O)nn2)O1,protein.pdb,1_lig_assembled_10_pdb_processed.sdf,39,563.473,None,0.2,0.4,-6.422325621,-0.5367236285,-0.1646750159,-0.01376214432,4.638096401,0.5016150637,4.757278238,0.3975730582
2_lig_assembled_11_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](CCC(=O)O)C(=O)O)nn2)O1,protein.pdb,2_lig_assembled_11_pdb_processed.sdf,40,577.5,None,0.2000000078,0.3999999961,-7.690095898,-0.6258058975,-0.1922523975,-0.01564514744,5.68865599,0.6489363323,5.696367332,0.463559924
3_lig_assembled_11_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](CCC(=O)O)C(=O)O)nn2)O1,protein.pdb,3_lig_assembled_11_pdb_processed.sdf,40,577.5,None,0.2,0.4,-6.491895655,-0.7483601576,-0.1622973914,-0.01870900394,4.75662664,0.6067245815,4.808811596,0.5543408575
4_lig_assembled_12_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(COCc3ccccc3)nn2)O1,protein.pdb,4_lig_assembled_12_pdb_processed.sdf,40,567.552,None,0.2000000028,0.3999999986,-6.731111899,-1.093222671,-0.1682777975,-0.02733056677,4.986051014,0.7045343972,4.986008814,0.8097945709
5_lig_assembled_12_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(COCc3ccccc3)nn2)O1,protein.pdb,5_lig_assembled_12_pdb_processed.sdf,40,567.552,None,0.2000000447,0.3999999776,-6.730420809,-0.6870818001,-0.1682605202,-0.017177045,5.048898765,0.8189343354,4.985496896,0.5089494815
6_lig_assembled_13_pdb,CCOC(=O)Cn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,6_lig_assembled_13_pdb_processed.sdf,37,533.491,None,0.2,0.4,-5.648359696,-0.4794710849,-0.1526583701,-0.01295867797,4.018946614,0.5246277305,4.183970145,0.3551637666
7_lig_assembled_13_pdb,CCOC(=O)Cn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,7_lig_assembled_13_pdb_processed.sdf,37,533.491,None,0.2,0.4,-7.548945829,-0.4847850035,-0.2040255629,-0.01310229739,5.477146217,0.6185254702,5.591811725,0.3591000026
8_lig_assembled_13_pdb,CCOC(=O)Cn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,8_lig_assembled_13_pdb_processed.sdf,37,533.491,None,0.2,0.4,-6.242115983,-0.8232103774,-0.1687058374,-0.02224892912,4.321135862,0.771577006,4.623789617,0.6097854647
9_lig_assembled_14_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCN3CCCC3)nn2)O1,protein.pdb,9_lig_assembled_14_pdb_processed.sdf,38,544.562,None,0.2,0.4,-6.460152493,-0.7009435604,-0.170004013,-0.01844588317,4.565915006,0.7538695769,4.785298143,0.5192174522
10_lig_assembled_14_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCN3CCCC3)nn2)O1,protein.pdb,10_lig_assembled_14_pdb_processed.sdf,38,544.562,None,0.2000000137,0.3999999932,-6.914542488,-0.7970166985,-0.1819616444,-0.02097412364,5.134083884,0.5426034155,5.121883324,0.5903827396
11_lig_assembled_15_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(Br)cc3)nn2)O1,protein.pdb,11_lig_assembled_15_pdb_processed.sdf,38,602.395,None,0.2000000165,0.3999999918,-8.110484985,-1.06442828,-0.2134338154,-0.02801127054,6.086031028,0.9715384662,6.007766656,0.7884653929
12_lig_assembled_15_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(Br)cc3)nn2)O1,protein.pdb,12_lig_assembled_15_pdb_processed.sdf,38,602.395,None,0.2000001267,0.3999999367,-8.077701647,-0.9768792855,-0.212571096,-0.02570734962,6.092149666,0.7580142677,5.983482701,0.7236142856
13_lig_assembled_16_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccc(C(=O)O)cc3)nn2)O1,protein.pdb,13_lig_assembled_16_pdb_processed.sdf,41,581.535,None,0.2,0.4,-8.519691743,-0.9243308671,-0.2077973596,-0.02254465529,6.320227691,0.8923613624,6.310882773,0.6846895312
14_lig_assembled_16_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccc(C(=O)O)cc3)nn2)O1,protein.pdb,14_lig_assembled_16_pdb_processed.sdf,41,581.535,None,0.2000000011,0.3999999995,-7.386778889,-0.8577919623,-0.1801653388,-0.02092175518,5.375221525,0.7356431584,5.471688066,0.6354014536
15_lig_assembled_17_pdb,CCN(CC)CCn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,15_lig_assembled_17_pdb_processed.sdf,38,546.578,None,0.2,0.4,-6.662247808,-0.8958691016,-0.1753223107,-0.02357550267,4.810545104,0.5866662066,4.934998376,0.6636067419
16_lig_assembled_17_pdb,CCN(CC)CCn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,16_lig_assembled_17_pdb_processed.sdf,38,546.578,None,0.2000000119,0.399999994,-7.143619108,-0.7119939435,-0.1879899765,-0.01873668272,5.236547538,0.5957662581,5.29156971,0.5274029211
17_lig_assembled_18_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CC(=O)NCc3cccs3)nn2)O1,protein.pdb,17_lig_assembled_18_pdb_processed.sdf,41,600.607,None,0.2,0.4,-7.065280918,-0.7129981734,-0.1723239248,-0.01739019935,5.174599579,0.5758452823,5.233541421,0.5281467951
18_lig_assembled_18_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CC(=O)NCc3cccs3)nn2)O1,protein.pdb,18_lig_assembled_18_pdb_processed.sdf,41,600.607,None,0,0,-6.551706924,-0.9173333538,-0.1597977298,-0.02237398424,4.736120905,0.3640630562,4.85311624,0.679506188
19_lig_assembled_18_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CC(=O)NCc3cccs3)nn2)O1,protein.pdb,19_lig_assembled_18_pdb_processed.sdf,41,600.607,None,0.2000000006,0.3999999997,-8.044621457,-1.027305843,-0.1962102794,-0.02505624008,6.009736947,0.7413993067,5.958978857,0.7609672913
20_lig_assembled_18_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CC(=O)NCc3cccs3)nn2)O1,protein.pdb,20_lig_assembled_18_pdb_processed.sdf,41,600.607,None,0,0,-6.798672438,-0.806393373,-0.165821279,-0.01966813105,4.846460411,0.7595768584,5.036053658,0.5973284245
21_lig_assembled_19_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCOC(C)=O)nn2)O1,protein.pdb,21_lig_assembled_19_pdb_processed.sdf,37,533.491,None,0.2,0.4,-7.479933173,-0.6931469416,-0.202160356,-0.01873370113,5.516254834,0.6067249805,5.540691239,0.513442179
22_lig_assembled_19_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCOC(C)=O)nn2)O1,protein.pdb,22_lig_assembled_19_pdb_processed.sdf,37,533.491,None,0.2,0.4,-7.716753316,-0.6215292409,-0.2085609004,-0.01679808759,5.739088672,0.4771489164,5.716113567,0.4603920303
23_lig_assembled_1_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCO)nn2)O1,protein.pdb,23_lig_assembled_1_pdb_processed.sdf,34,491.454,None,0.2,0.4,-5.426893161,-0.7561850515,-0.1596145047,-0.02224073681,3.859130621,0.6629510171,4.01992086,0.5601370752
24_lig_assembled_1_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCO)nn2)O1,protein.pdb,24_lig_assembled_1_pdb_processed.sdf,34,491.454,None,0.2,0.4,-5.630407165,-0.8885163904,-0.1656002107,-0.02613283501,4.059050288,0.7967558758,4.170671974,0.6581602892
