,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-5.136,-4.855,-4.804,-4.66,-4.631,-4.588,-4.552,-4.543,-4.512,-4.442,-4.423,-4.404,-4.398,-4.356,-4.299,-4.239,-4.216,-4.206,-4.17,-4.055
1,-4.591,-4.291,-4.269,-4.262,-4.253,-4.248,-4.242,-4.219,-4.196,-4.193,-4.168,-4.162,-4.092,-4.067,-4.061,-4.053,-3.918,-3.797,-3.757,-3.756
2,-5.794,-5.74,-5.326,-5.322,-5.319,-5.273,-5.261,-5.182,-5.144,-5.133,-5.132,-5.129,-5.107,-5.066,-5.005,-4.962,-4.953,-4.923,-4.909,-4.698
3,-5.458,-5.401,-5.28,-5.232,-4.972,-4.959,-4.89,-4.887,-4.805,-4.778,-4.734,-4.733,-4.717,-4.714,-4.705,-4.692,-4.668,-4.628,-4.615,-4.6
4,-5.715,-5.597,-5.486,-5.389,-5.376,-5.363,-5.307,-5.274,-5.211,-5.203,-5.177,-5.174,-5.143,-5.06,-5.059,-5.051,-5.027,-4.972,-4.773,-4.693
5,-5.217,-5.102,-5.078,-5.057,-4.972,-4.963,-4.845,-4.838,-4.718,-4.71,-4.676,-4.657,-4.61,-4.606,-4.606,-4.572,-4.56,-4.458,-4.38,-4.372
6,-5.912,-5.807,-5.665,-5.604,-5.561,-5.531,-5.489,-5.424,-5.324,-5.294,-5.276,-5.228,-5.173,-5.161,-5.092,-5.036,-4.927,-4.86,-4.792,-4.729
7,-5.705,-5.686,-5.581,-5.395,-5.245,-5.21,-5.165,-5.164,-5.128,-5.116,-5.063,-5.037,-4.954,-4.941,-4.833,-4.761,-4.732,-4.708,-4.591,-4.462
8,-5.047,-4.951,-4.839,-4.83,-4.784,-4.741,-4.629,-4.609,-4.511,-4.392,-4.386,-4.378,-4.349,-4.315,-4.31,-4.279,-4.236,-4.22,-4.173,-4.029
9,-5.588,-5.47,-5.451,-5.377,-5.339,-5.299,-5.222,-5.184,-5.11,-5.089,-5.088,-5.051,-5.031,-4.965,-4.892,-4.768,-4.74,-4.672,-4.647,-4.571
10,-5.189,-4.828,-4.681,-4.679,-4.67,-4.664,-4.642,-4.613,-4.591,-4.573,-4.572,-4.492,-4.437,-4.414,-4.394,-4.391,-4.361,-4.355,-4.208,-4.178
11,-4.204,-4.144,-4.07,-4.035,-4.019,-4.004,-3.99,-3.965,-3.892,-3.845,-3.845,-3.831,-3.774,-3.685,-3.625,-3.583,-3.576,-3.575,-3.532,-3.494
12,-5.644,-5.605,-5.568,-5.545,-5.535,-5.534,-5.499,-5.42,-5.405,-5.396,-5.368,-5.327,-5.254,-5.087,-5.081,-5.071,-5.042,-5.04,-4.997,-4.962
13,-4.77,-4.726,-4.548,-4.484,-4.389,-4.387,-4.368,-4.343,-4.329,-4.326,-4.304,-4.303,-4.283,-4.224,-4.22,-4.184,-4.101,-4.091,-4.064,-3.932
14,-5.431,-5.426,-5.335,-5.297,-5.203,-5.197,-5.167,-5.128,-5.126,-5.106,-5.104,-5.083,-5.004,-5.003,-4.999,-4.952,-4.899,-4.857,-4.79,-4.655
15,-4.917,-4.874,-4.87,-4.869,-4.788,-4.778,-4.732,-4.594,-4.524,-4.455,-4.432,-4.381,-4.345,-4.316,-4.313,-4.277,-4.24,-4.234,-4.218,-3.875
16,-5.262,-5.083,-5.065,-4.911,-4.903,-4.883,-4.859,-4.789,-4.773,-4.739,-4.641,-4.612,-4.558,-4.52,-4.517,-4.413,-4.394,-4.285,-4.258,
17,-4.643,-4.605,-4.368,-4.342,-4.285,-4.265,-4.262,-4.221,-4.132,-4.13,-4.1,-4.082,-4.078,-4.07,-4.032,-4.019,-4.008,-3.936,-3.922,-3.89
18,-5.455,-5.3,-5.248,-5.222,-5.14,-5.118,-5.012,-4.998,-4.956,-4.875,-4.827,-4.825,-4.814,-4.8,-4.736,-4.727,-4.688,-4.629,-4.514,-4.49
19,-4.789,-4.649,-4.607,-4.604,-4.572,-4.52,-4.498,-4.423,-4.422,-4.405,-4.34,-4.306,-4.262,-4.237,-4.223,-4.213,-4.209,-4.131,-4.11,-3.881
20,-4.954,-4.737,-4.605,-4.59,-4.51,-4.503,-4.461,-4.458,-4.421,-4.377,-4.371,-4.316,-4.313,-4.267,-4.261,-4.189,-4.09,-4.087,-3.961,-3.932
21,-4.935,-4.925,-4.88,-4.879,-4.75,-4.666,-4.535,-4.493,-4.469,-4.45,-4.429,-4.402,-4.372,-4.367,-4.348,-4.341,-4.299,-4.23,-4.074,-3.955
22,-4.808,-4.79,-4.679,-4.55,-4.34,-4.307,-4.242,-4.226,-4.198,-4.159,-4.152,-4.148,-4.121,-4.087,-4.07,-4.057,-4.016,-4.01,-3.973,-3.848
23,-5.568,-5.517,-5.486,-5.394,-5.386,-5.38,-5.301,-5.297,-5.276,-5.251,-5.231,-5.086,-5.067,-5.054,-5.05,-5.039,-5.036,-4.985,-4.917,-4.912
24,-4.499,-4.437,-4.328,-4.326,-4.308,-4.283,-4.245,-4.212,-4.211,-4.12,-4.119,-4.113,-4.101,-4.041,-4.005,-3.997,-3.995,-3.988,-3.917,-3.727
25,-5.939,-5.907,-5.904,-5.901,-5.854,-5.816,-5.767,-5.724,-5.716,-5.692,-5.592,-5.515,-5.506,-5.504,-5.456,-5.406,-5.366,-5.327,-5.261,-5.242
