,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-8.009,-7.71,-7.701,-7.681,-7.577,-7.447,-7.43,-7.415,-7.359,-7.225,-7.17,-7.129,-7.123,-7.122,-7.079,-7.007,-6.953,-6.803,-6.802,-6.784
1,-6.211,-5.888,-5.757,-5.736,-5.67,-5.661,-5.639,-5.586,-5.563,-5.532,-5.452,-5.442,-5.437,-5.435,-5.432,-5.396,-5.386,-5.37,-5.357,-5.332
2,-7.435,-7.292,-7.247,-7.225,-7.213,-7.038,-7.017,-7.008,-6.835,-6.821,-6.815,-6.736,-6.732,-6.731,-6.688,-6.67,-6.63,-6.469,-6.457,-6.455
3,-7.883,-7.585,-7.362,-7.326,-7.312,-7.26,-7.214,-7.036,-6.907,-6.828,-6.808,-6.725,-6.665,-6.501,-6.483,-6.48,-6.46,-6.45,-6.449,-6.369
4,-7.349,-7.18,-7.092,-7.034,-7.002,-6.963,-6.928,-6.912,-6.86,-6.818,-6.732,-6.606,-6.591,-6.585,-6.573,-6.516,-6.395,-6.273,-6.259,-6.253
5,-8.168,-7.811,-7.755,-7.711,-7.547,-7.5,-7.454,-7.433,-7.429,-7.411,-7.356,-7.252,-7.214,-7.208,-7.207,-7.198,-7.193,-7.158,-7.102,-7.026
6,-7.791,-7.471,-7.418,-7.395,-7.392,-7.369,-7.364,-7.19,-7.151,-7.084,-7.071,-6.976,-6.958,-6.909,-6.902,-6.844,-6.789,-6.788,-6.721,-6.704
7,-7.709,-7.654,-7.331,-7.27,-7.253,-7.173,-7.145,-7.044,-6.833,-6.801,-6.732,-6.703,-6.636,-6.624,-6.612,-6.61,-6.582,-6.531,-6.4,-6.375
8,-7.735,-7.453,-7.304,-7.184,-7.173,-6.943,-6.832,-6.761,-6.755,-6.68,-6.654,-6.59,-6.571,-6.548,-6.518,-6.497,-6.49,-6.481,-6.477,-6.473
9,-7.142,-6.756,-6.75,-6.687,-6.52,-6.499,-6.465,-6.419,-6.268,-6.25,-6.241,-6.197,-6.115,-6.101,-6.072,-6.061,-6.034,-6.025,-6.021,-5.867
10,-6.837,-6.772,-6.727,-6.675,-6.655,-6.571,-6.537,-6.534,-6.533,-6.496,-6.477,-6.462,-6.437,-6.379,-6.362,-6.358,-6.349,-6.338,-6.299,-6.235
11,-7.042,-6.861,-6.859,-6.818,-6.774,-6.753,-6.742,-6.693,-6.684,-6.634,-6.611,-6.493,-6.435,-6.416,-6.4,-6.394,-6.324,-6.32,-6.318,-6.261
12,-7.553,-7.371,-7.28,-7.132,-7.045,-6.948,-6.936,-6.878,-6.83,-6.814,-6.778,-6.763,-6.677,-6.61,-6.594,-6.537,-6.497,-6.444,-6.416,-6.367
13,-6.548,-6.292,-6.242,-6.201,-6.183,-6.106,-6.042,-5.932,-5.89,-5.873,-5.872,-5.85,-5.796,-5.768,-5.745,-5.723,-5.715,-5.707,-5.667,-5.65
14,-6.768,-6.721,-6.622,-6.471,-6.398,-6.304,-6.285,-6.253,-6.189,-6.156,-6.119,-5.986,-5.963,-5.913,-5.911,-5.862,-5.857,-5.828,-5.8,-5.715
15,-7.644,-7.456,-7.259,-7.223,-7.199,-7.136,-7.052,-6.992,-6.935,-6.893,-6.823,-6.822,-6.816,-6.803,-6.759,-6.746,-6.679,-6.668,-6.66,-6.645
16,-7.851,-7.789,-7.621,-7.534,-7.454,-7.451,-7.35,-7.166,-7.054,-7.049,-7.046,-7.033,-7.019,-7.001,-6.896,-6.894,-6.757,-6.721,-6.698,-6.664
17,-6.51,-6.461,-6.401,-6.362,-6.331,-6.302,-6.268,-6.188,-6.121,-6.101,-6.049,-5.972,-5.966,-5.966,-5.94,-5.937,-5.93,-5.915,-5.792,-5.765
18,-7.343,-7.23,-7.217,-7.077,-7.046,-6.994,-6.992,-6.988,-6.961,-6.956,-6.811,-6.81,-6.749,-6.697,-6.692,-6.659,-6.649,-6.636,-6.615,-6.575
19,-6.987,-6.741,-6.539,-6.533,-6.522,-6.467,-6.405,-6.358,-6.354,-6.34,-6.268,-6.24,-6.202,-6.19,-6.176,-6.127,-6.061,-6.038,-6.027,-5.971
20,-7.933,-7.78,-7.747,-7.47,-7.458,-7.437,-7.404,-7.322,-7.219,-7.196,-7.193,-7.187,-7.14,-7.094,-7.072,-7.033,-6.992,-6.98,-6.94,-6.914
21,-6.947,-6.855,-6.761,-6.756,-6.719,-6.66,-6.579,-6.514,-6.497,-6.452,-6.43,-6.384,-6.368,-6.35,-6.343,-6.262,-6.226,-6.209,-6.198,-6.127
22,-6.269,-6.219,-6.094,-6.076,-6.042,-6.016,-6.004,-5.879,-5.842,-5.745,-5.712,-5.677,-5.66,-5.556,-5.413,-5.385,-5.381,-5.377,-5.354,-5.331
23,-7.242,-7.217,-6.99,-6.89,-6.673,-6.636,-6.577,-6.572,-6.535,-6.42,-6.354,-6.341,-6.33,-6.289,-6.269,-6.269,-6.245,-6.235,-6.175,-6.163
24,-7.336,-7.114,-6.959,-6.91,-6.897,-6.863,-6.862,-6.83,-6.809,-6.758,-6.747,-6.572,-6.514,-6.501,-6.492,-6.469,-6.448,-6.429,-6.335,-6.304
25,-8.566,-8.557,-8.434,-8.217,-8.178,-8.167,-8.151,-8.148,-8.114,-8.071,-8.0,-7.998,-7.971,-7.938,-7.855,-7.798,-7.788,-7.77,-7.721,-7.69
