,energy
0,-0.371
1,-0.561
2,341.945
3,0.0
4,-2.051
5,-1.49
6,-1.21
7,0.0
8,-0.005
9,-0.427
10,0.0
11,292.077
12,-2.355
13,-1.519
14,-1.825
15,341.955
16,-0.389
17,-0.667
18,53.33
19,-0.768
20,0.0
21,344.366
22,0.0
23,335.035
24,-0.667
25,-2.443
26,-0.32
27,-0.271
28,-1.157
29,-1.09
30,58.581
31,-0.528
32,315.904
33,0.0
34,-1.059
35,-0.748
36,0.0
37,-2.831
38,-1.473
39,-0.002
40,-0.002
41,9.665
42,-0.699
43,-0.005
44,-0.895
45,0.0
46,-0.631
47,-0.08
48,-0.901
49,0.868
50,0.0
51,0.0
52,0.0
53,-1.256
54,0.0
55,-0.222
56,-0.005
57,-0.941
58,-3.917
59,-0.731
60,-0.028
61,-0.012
62,310.729
63,-1.166
64,0.0
65,0.0
66,-1.351
67,332.926
68,-1.607
69,0.0
70,-0.002
71,-1.214
72,-0.52
73,-1.431
74,0.0
75,-1.257
76,-1.336
77,1.378
78,-0.002
79,-0.998
80,0.0
81,-0.212
82,-1.36
83,-1.394
84,-1.503
85,-1.631
86,-0.9
87,337.661
88,0.0
89,-0.837
90,-0.558
91,0.0
92,0.0
93,-1.098
